Содержание файла 2.csv
OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,WY42,man83,27,66.74,11.63,2017-08-08,2017-09-28
2,HV15,man22,77,59.9,11.39,2017-08-06,2017-10-04
3,YN06,man42,34,66.57,14.73,2017-08-03,2017-10-10
4,NO36,man44,44,29.57,29.53,2017-09-16,2017-10-06
5,QW64,man97,64,57.44,15.38,2017-07-27,2017-09-24
6,JH05,man42,73,29.04,16.01,2017-09-04,2017-10-13
7,MA85,man58,99,63.8,21.12,2017-08-25,2017-09-26
8,BG58,man07,86,99.05,11.12,2017-08-26,2017-10-10
9,HI73,man99,69,98.88,27.69,2017-08-16,2017-10-19
10,QK59,man94,29,26.64,28.96,2017-07-23,2017-10-01
11,EH98,man95,91,32.1,18.87,2017-08-12,2017-10-09
12,XG84,man57,71,98.0,23.39,2017-07-30,2017-10-14
